,English,English_cleaned,Spanish,French,German
975,do you see that house it's mine,do you see that house it is mine,ves esa casa es mia,vois-tu cette maison c'est la mienne,"Siehst du das Haus, es ist meins"
976,do you see why this is a problem,do you see why this is a problem,¿Ves por qué esto es un problema?,voyez-vous pourquoi c'est un problème,"sehen Sie, warum dies ein Problem ist"
977,do you sell advance tickets here,do you sell advance tickets here,¿Vendes entradas anticipadas aquí?,vendez-vous des billets à l'avance ici,verkaufen Sie hier Vorverkaufskarten
978,do you still have tom's umbrella,do you still have tom s umbrella,todavia tienes el paraguas de tom,as-tu encore le parapluie de tom,hast du noch toms regenschirm
979,do you think i can pull this off,do you think i can pull this off,¿Crees que puedo lograr esto?,pensez-vous que je peux retirer ça,meinst du ich kann das durchziehen
980,do you think i'm wasting my time,do you think i am wasting my time,crees que estoy perdiendo el tiempo,pensez-vous que je perds mon temps,"Glaubst du, ich verschwende meine Zeit?"
981,do you think animals have a soul,do you think animals have a soul,crees que los animales tienen alma,pensez-vous que les animaux ont une âme,"Glaubst du, Tiere haben eine Seele?"
982,do you think he is a good driver,do you think he is a good driver,crees que es un buen conductor,pensez-vous qu'il est un bon conducteur,"Glaubst du, er ist ein guter Fahrer?"
983,do you think he's really into me,do you think he is really into me,¿Crees que él está realmente interesado en mí?,pensez-vous qu'il est vraiment en moi,"Glaubst du, er steht wirklich auf mich?"
984,do you think it'll stay that way,do you think it will stay that way,¿Crees que seguirá siendo así?,tu penses que ça va rester comme ça,meinst du das wird so bleiben
985,do you think that'll happen soon,do you think that ll happen soon,¿Crees que eso sucederá pronto?,pensez-vous que cela arrivera bientôt,denkst du das wird bald passieren
986,do you understand how this works,do you understand how this works,¿Entiendes cómo funciona esto?,Comprenez-vous comment cela fonctionne,verstehst du wie das geht
987,do you want another one of these,do you want another one of these,quieres otro de estos,voulez-vous un autre de ceux-ci,willst du noch eins davon
988,do you want another piece of pie,do you want another piece of pie,quieres otro pedazo de pastel,veux-tu un autre morceau de tarte,willst du noch ein stück kuchen
989,do you want any of these flowers,do you want any of these flowers,quieres alguna de estas flores,veux-tu une de ces fleurs,Möchtest du eine dieser Blumen?
990,do you want him to know about it,do you want him to know about it,quieres que lo sepa,veux-tu qu'il le sache,"willst du, dass er davon erfährt"
991,do you want me to comb your hair,do you want me to comb your hair,quieres que te peine el pelo,veux-tu que je te peigne les cheveux,Soll ich dir die Haare kämmen?
992,do you want me to send you money,do you want me to send you money,quieres que te mande dinero,veux-tu que je t'envoie de l'argent,Soll ich dir Geld schicken?
993,do you want sugar in your coffee,do you want sugar in your coffee,¿Quieres azúcar en tu café?,veux-tu du sucre dans ton café,Willst du Zucker in deinem Kaffee?
994,do you want to ask me a question,do you want to ask me a question,quieres hacerme una pregunta,voulez-vous me poser une question,willst du mir eine frage stellen
995,do you want to come out and play,do you want to come out and play,quieres salir y jugar,veux-tu sortir et jouer,Willst du rauskommen und spielen
996,do you want to come over tonight,do you want to come over tonight,quieres venir esta noche,veux-tu venir ce soir,Willst du heute Abend vorbeikommen?
997,do you want to join me for lunch,do you want to join me for lunch,¿quieres acompañarme a almorzar?,veux-tu me rejoindre pour le déjeuner,willst du mit mir essen gehen
998,do you want to know what i think,do you want to know what i think,quieres saber lo que pienso,tu veux savoir ce que je pense,willst du wissen was ich denke
999,do you want to know who did this,do you want to know who did this,quieres saber quien hizo esto,tu veux savoir qui a fait ça,willst du wissen wer das gemacht hat
